2018-01-20 16:42:49.579 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:319] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.skilly.house.HouseApplicationTest], using SpringBootContextLoader
2018-01-20 16:42:49.593 [main] INFO  [o.s.test.context.support.AbstractContextLoader:264] - Could not detect default resource locations for test class [com.skilly.house.HouseApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-20 16:42:49.602 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils:81] - Could not detect default configuration classes for test class [com.skilly.house.HouseApplicationTest]: HouseApplicationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-01-20 16:42:49.807 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:206] - Found @SpringBootConfiguration com.skilly.house.HouseApplication for test class com.skilly.house.HouseApplicationTest
2018-01-20 16:42:49.821 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:260] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-20 16:42:49.860 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper:187] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1ed1993a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f3f4916, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@794cb805, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4b5a5ed1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@59d016c9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3cc2931c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20d28811, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3967e60c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@60d8c9b7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@48aaecc3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c0c77c7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7adda9cc]
2018-01-20 16:42:50.483 [main] INFO  [com.skilly.house.HouseApplicationTest:48] - Starting HouseApplicationTest on DESKTOP-9MBSSTD with PID 25300 (started by 12541 in F:\javaProject\java-spring\house)
2018-01-20 16:42:50.484 [main] INFO  [com.skilly.house.HouseApplicationTest:593] - No active profile set, falling back to default profiles: default
2018-01-20 16:42:50.612 [main] INFO  [o.s.w.context.support.GenericWebApplicationContext:583] - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@18d87d80: startup date [Sat Jan 20 16:42:50 CST 2018]; root of context hierarchy
2018-01-20 16:42:50.740 [background-preinit] INFO  [org.hibernate.validator.internal.util.Version:30] - HV000001: Hibernate Validator 5.3.6.Final
2018-01-20 16:42:53.438 [main] INFO  [com.alibaba.druid.pool.DruidDataSource:922] - {dataSource-1} inited
2018-01-20 16:42:55.466 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerAdapter:534] - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@18d87d80: startup date [Sat Jan 20 16:42:50 CST 2018]; root of context hierarchy
2018-01-20 16:42:55.569 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/index]}" onto public java.lang.String com.skilly.house.controller.HelloController.index()
2018-01-20 16:42:55.571 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/hello]}" onto public java.lang.String com.skilly.house.controller.HelloController.hello(org.springframework.ui.ModelMap)
2018-01-20 16:42:55.573 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/user]}" onto public java.util.List<com.skilly.house.common.model.User> com.skilly.house.controller.UserController.getUsers()
2018-01-20 16:42:55.583 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-20 16:42:55.585 [main] INFO  [o.s.w.s.m.m.a.RequestMappingHandlerMapping:543] - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-20 16:42:55.684 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-20 16:42:55.684 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-20 16:42:55.745 [main] INFO  [o.s.web.servlet.handler.SimpleUrlHandlerMapping:362] - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-20 16:42:56.102 [main] INFO  [o.s.w.servlet.view.freemarker.FreeMarkerConfigurer:127] - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-20 16:42:56.533 [main] INFO  [com.skilly.house.HouseApplicationTest:57] - Started HouseApplicationTest in 6.545 seconds (JVM running for 7.954)
2018-01-20 16:42:56.945 [Thread-2] INFO  [o.s.w.context.support.GenericWebApplicationContext:984] - Closing org.springframework.web.context.support.GenericWebApplicationContext@18d87d80: startup date [Sat Jan 20 16:42:50 CST 2018]; root of context hierarchy
2018-01-20 16:42:56.957 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource:1817] - {dataSource-1} closed
